date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,vol_ma5,vol_ma10,vol_ma20,turnover_rate
2020-09-24,1635.97,1658.88,1629.32,1626.8,30050.78,-20.66,-1.25,1661.358,1696.141,1724.68,31737.45,32784.8,32961.44,0.24
2020-09-23,1635.0,1666.01,1649.98,1621.02,35725.52,-15.71,-0.94,1669.598,1703.789,1729.764,38463.26,32257.55,32590.67,0.28
2020-09-22,1650.0,1686.98,1665.69,1650.0,23265.47,-1.11,-0.07,1684.622,1707.591,1733.615,35821.35,31281.35,32115.18,0.19
2020-09-21,1692.76,1692.76,1666.8,1666.66,22444.07,-28.2,-1.66,1703.484,1712.162,1736.68,35332.43,32402.04,33045.54,0.18
2020-09-18,1665.0,1695.0,1695.0,1635.01,47201.4,24.48,1.47,1723.324,1717.832,1738.158,37054.82,33268.84,33470.0,0.38
2020-09-17,1700.0,1700.0,1670.52,1658.0,63679.85,-54.58,-3.16,1730.924,1725.332,1737.208,33832.14,31634.5,32364.05,0.51
2020-09-16,1760.0,1764.81,1725.1,1719.0,22515.98,-34.9,-1.98,1737.98,1737.58,1736.882,26051.84,28310.25,30299.18,0.18
2020-09-15,1769.99,1769.99,1760.0,1747.75,20820.87,-6.0,-0.34,1730.56,1744.57,1734.977,26741.35,29259.58,30519.13,0.17
2020-09-14,1745.0,1769.0,1766.0,1730.58,31056.01,33.0,1.9,1720.84,1748.768,1732.227,29471.65,30341.48,30999.23,0.25
2020-09-11,1688.0,1736.0,1733.0,1688.0,31088.0,27.2,1.59,1712.34,1750.818,1728.427,29482.86,32016.92,31625.03,0.25
2020-09-10,1703.74,1720.0,1705.8,1700.0,24778.33,17.8,1.05,1719.74,1753.218,1724.827,29436.85,33138.08,31953.28,0.2
2020-09-09,1699.67,1711.0,1688.0,1680.04,25963.55,-23.4,-1.37,1737.18,1755.738,1721.287,30568.65,32923.8,31741.44,0.21
2020-09-08,1732.0,1737.8,1711.4,1677.07,34472.38,-12.1,-0.7,1758.58,1759.638,1718.234,31777.8,32949.02,31839.95,0.27
2020-09-07,1760.0,1777.99,1723.5,1703.97,31112.02,-46.5,-2.63,1776.696,1761.198,1714.79,31211.31,33689.03,31907.24,0.25
2020-09-04,1766.0,1776.99,1770.0,1746.0,30857.96,-23.0,-1.28,1789.296,1758.483,1710.314,34550.98,33671.17,31532.82,0.25
2020-09-03,1795.0,1812.0,1793.0,1779.7,30437.35,-2.0,-0.11,1786.696,1749.083,1703.364,36839.31,33093.61,31702.02,0.24
2020-09-02,1825.0,1828.0,1795.0,1770.0,32009.29,-6.98,-0.39,1774.296,1736.183,1695.612,35278.94,32288.11,31812.6,0.25
2020-09-01,1792.0,1802.0,1801.98,1775.01,31639.92,15.48,0.87,1760.696,1725.383,1689.262,34120.23,31778.68,31488.22,0.25
2020-08-31,1770.58,1816.0,1786.5,1770.58,47810.36,29.5,1.68,1745.7,1715.685,1682.663,36166.75,31656.97,31503.25,0.38
