datetime,code,open,close,high,low,vol,amount,p_change
2015-01-08,600519,194.0,191.76,194.52,190.14,40525.0,777874688.0,-0.61
2015-01-09,600519,190.4,190.31,195.77,190.11,53982.0,1039955136.0,-0.76
2015-01-12,600519,190.0,186.43,192.59,184.46,49914.0,934643392.0,-2.04
2015-01-13,600519,187.0,184.88,188.54,184.6,36708.0,683429632.0,-0.83
2015-01-14,600519,185.0,183.18,186.5,180.88,52403.0,965036160.0,-0.92
2015-01-15,600519,183.89,186.07,186.4,182.48,48585.0,895503104.0,1.58
2015-01-16,600519,186.2,186.11,188.0,185.98,39978.0,746304320.0,0.02
2015-01-19,600519,181.0,175.48,183.2,171.47,64679.0,1151544320.0,-5.71
2015-01-20,600519,176.02,178.08,180.5,173.0,61022.0,1086018432.0,1.48
2015-01-21,600519,178.27,182.36,182.9,177.2,52674.0,950750400.0,2.4
2015-01-22,600519,182.37,181.23,184.36,180.0,38254.0,696541248.0,-0.62
2015-01-23,600519,180.12,181.02,183.28,180.11,33084.0,600627328.0,-0.12
2015-01-26,600519,181.7,182.8,183.5,181.05,35649.0,650642112.0,0.98
2015-01-27,600519,182.82,180.11,182.82,178.0,41883.0,755025856.0,-1.47
2015-01-28,600519,179.0,177.47,180.4,177.3,30680.0,547979136.0,-1.47
2015-01-29,600519,176.2,176.15,178.0,175.0,32492.0,571553408.0,-0.74
2015-01-30,600519,176.99,177.18,181.0,176.5,47508.0,848744512.0,0.58
2015-02-02,600519,175.51,174.82,176.4,173.5,33983.0,593379648.0,-1.33
2015-02-03,600519,177.48,178.37,178.65,176.2,27792.0,493512576.0,2.03
2015-02-04,600519,179.15,177.25,182.08,177.0,35293.0,634135296.0,-0.63
2015-02-05,600519,178.97,174.05,180.9,174.0,41239.0,735861120.0,-1.81
2015-02-06,600519,174.64,174.6,176.5,173.6,37102.0,648205632.0,0.32
2015-02-09,600519,175.77,184.3,185.1,175.0,87293.0,1584342272.0,5.56
2015-02-10,600519,184.8,182.88,185.2,181.45,53638.0,984795840.0,-0.77
2015-02-11,600519,182.4,183.15,184.25,182.08,22894.0,420358848.0,0.15
2015-02-12,600519,183.99,183.57,184.49,182.01,25050.0,458818624.0,0.23
2015-02-13,600519,184.11,182.49,184.5,181.4,40127.0,734977408.0,-0.59
2015-02-16,600519,182.54,183.31,183.63,181.22,39521.0,722512128.0,0.45
2015-02-17,600519,183.55,182.22,183.89,181.91,34172.0,624854080.0,-0.59
2015-02-25,600519,183.0,183.96,185.7,181.11,59935.0,1104113280.0,0.95
2015-02-26,600519,183.8,186.64,188.39,183.55,62297.0,1163369600.0,1.46
2015-02-27,600519,186.9,191.05,194.5,186.8,63370.0,1217723136.0,2.36
2015-03-02,600519,190.8,190.73,193.8,189.0,31098.0,592027072.0,-0.17
2015-03-03,600519,189.3,185.95,192.0,185.16,42999.0,812905792.0,-2.51
2015-03-04,600519,186.99,187.19,188.01,184.6,40662.0,757815040.0,0.67
2015-03-05,600519,185.01,185.52,187.03,184.05,36206.0,670609792.0,-0.89
2015-03-06,600519,185.35,183.62,186.48,183.27,25470.0,471454752.0,-1.02
2015-03-09,600519,185.8,191.56,192.99,183.8,43486.0,815432192.0,4.32
2015-03-10,600519,190.94,187.83,191.5,187.28,29637.0,561292480.0,-1.95
2015-03-11,600519,187.83,191.98,193.0,187.8,40583.0,778418688.0,2.21
2015-03-12,600519,193.0,192.75,195.99,191.4,38496.0,747203136.0,0.4
2015-03-13,600519,192.7,189.91,193.9,188.58,25479.0,486997376.0,-1.47
2015-03-16,600519,190.06,193.76,194.5,187.01,31160.0,597313664.0,2.03
2015-03-17,600519,194.99,196.77,198.69,194.89,45904.0,903712768.0,1.55
2015-03-18,600519,196.8,199.45,199.99,195.52,39304.0,778884992.0,1.36
2015-03-19,600519,198.54,195.28,198.99,194.06,33539.0,658535488.0,-2.09
2015-03-20,600519,194.2,193.15,194.99,190.88,51373.0,991294912.0,-1.09
2015-03-23,600519,194.67,195.08,196.75,193.2,40979.0,799009920.0,1.0
2015-03-24,600519,195.3,195.69,197.44,192.1,60079.0,1172628480.0,0.31
2015-03-25,600519,193.0,192.78,195.1,192.06,42240.0,815963264.0,-1.49
2015-03-26,600519,193.55,198.56,199.9,192.0,67105.0,1315872128.0,3.0
2015-03-27,600519,198.0,194.55,198.56,192.95,40144.0,784086656.0,-2.02
